Name,Url,"Fork source","Creation date","Last update","Last version",Omeka.org,"Omeka constraint",Author,"Author link",License,Description,Tags,Link,"Support link","Ini path","Last released zip"
"Advanced Search Plus",https://github.com/Daniel-KM/Omeka-S-module-AdvancedSearchPlus,,2018-05-21T06:31:55Z,2018-05-21T19:52:01Z,3.0.1,,^1.0.0,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Add some fields to the advanced search form (before/after creation date, has media, etc.).","search, admin, curation",https://github.com/Daniel-KM/Omeka-S-module-AdvancedSearchPlus,https://github.com/Daniel-KM/Omeka-S-module-AdvancedSearchPlus/issues,,https://github.com/Daniel-KM/Omeka-S-module-AdvancedSearchPlus/releases/download/3.0.1/AdvancedSearchPlus.zip
"Analytics Snippet - Piwik / Matomo",https://github.com/Daniel-KM/Omeka-S-module-AnalyticsSnippetPiwik,,2017-11-13T14:40:01Z,2018-08-23T06:03:36Z,3.0.1,,^1.0.0,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Submodule for Analytics Snippet to track json (in particular Omeka S API) and xml (like with OAI-PMH Repository) calls with Piwik / Matomo.","seo, tracking, analytics, statistics",https://github.com/Daniel-KM/Omeka-S-module-AnalyticsSnippetPiwik,https://github.com/Daniel-KM/Omeka-S-module-AnalyticsSnippetPiwik/issues,,
"Analytics Snippet",https://github.com/Daniel-KM/Omeka-S-module-AnalyticsSnippet,,2017-11-13T14:19:42Z,2018-08-23T06:05:14Z,3.0.1,,^1.0.0,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Add a snippet, generally a javascript tracker, at the end of the public or admin pages, and allows to track json and xml requests.","seo, tracking, analytics, statistics",https://github.com/Daniel-KM/Omeka-S-module-AnalyticsSnippet,https://github.com/Daniel-KM/Omeka-S-module-AnalyticsSnippet/issues,,
Annotate,https://github.com/Daniel-KM/Omeka-S-module-Annotate,,2018-05-08T16:20:14Z,2018-10-02T15:22:20Z,3.0.2,,^1.1.0,"Daniel Berthereau",https://github.com/Daniel-KM,CECILL-2.1,"Implement the W3C Web Annotation Ontology to let users annotate, tag, comment, rate, highlight, draw, etc. any resource in a normalized way.","annotation, tag, comment, rating, w3c recommendation, linked data",https://github.com/Daniel-KM/Omeka-S-module-Annotate,https://github.com/Daniel-KM/Omeka-S-module-Annotate/issues,,https://github.com/Daniel-KM/Omeka-S-module-Annotate/releases/download/3.0.0/Annotate.zip
"Archive Folder",https://github.com/biblibre/omeka-s-module-ArchiveFolder,,2016-03-24T16:04:23Z,2016-03-29T17:05:54Z,2.4,,,"Daniel Berthereau",,,"Automatically import a local or remote folder into Omeka as collections, items, files, and metadata.",,https://github.com/Daniel-KM/ArchiveFolder,,,
"Archive Repertory",https://github.com/Daniel-KM/Omeka-S-module-ArchiveRepertory,,2017-03-28T11:16:01Z,2018-06-18T06:10:19Z,3.15.5,,^1.0.0,"Daniel Berthereau, Omeka S port by BibLibre",https://github.com/Daniel-KM,"CeCILL v2.1","Keeps original names of imported files and put them in a hierarchical structure (collection / item / files) in order to get readable urls for files and to avoid an overloading of the file server.","file, path, import",https://github.com/Daniel-KM/Omeka-S-module-ArchiveRepertory,https://github.com/Daniel-KM/Omeka-S-module-ArchiveRepertory/issues,,
Ark,https://github.com/biblibre/omeka-s-module-Ark,,2016-09-14T12:19:28Z,2018-03-28T14:12:02Z,0.1.1,,>=v1.0.0-beta3,BibLibre,https://github.com/biblibre,,"Create short, unique, meaningless, universal and persistent identifiers (ark and/or noid) and use them as urls for records.",,https://github.com/biblibre/omeka-s-module-Ark,,,
Base,https://github.com/pols12/omeka-s-module-Base,,2018-07-18T10:56:42Z,2018-07-18T11:00:22Z,0.1.0,,,Pols12,http://github.com/pols12,,"Base of a module to execute a script.",,,,,
Basket,https://github.com/biblibre/omeka-s-module-Basket,,2016-09-20T14:39:48Z,2017-12-13T17:58:00Z,0.2.0,,,,,,"Allow user to add basket",,https://github.com/biblibre/Basket,,,
Cartography,https://github.com/Daniel-KM/Omeka-S-module-Cartography,,2018-09-13T14:47:25Z,2018-10-10T07:46:49Z,3.0.2-alpha,,^1.2.0,"Daniel Berthereau for EHESS",https://github.com/Daniel-KM,"CeCILL v2.1","Allows to annotate an image with the web annotation vocabulary and data model.","annotation, cartography, crowd, mapping",https://github.com/Daniel-KM/Omeka-S-module-Cartography,https://github.com/Daniel-KM/Omeka-S-module-Cartography/issues,,
"Clean Url",https://github.com/Daniel-KM/Omeka-S-module-CleanUrl,,2017-04-04T11:42:23Z,2018-07-30T06:11:03Z,3.15.5,,^1.0.0,"Daniel Berthereau, Omeka S port by BibLibre",https://github.com/Daniel-KM,"CeCILL v2.1","Displays clean, seo and readable URLs like https://example.org/first_collection/dc:identifier.","url, route, SEO",https://github.com/biblibre/omeka-s-module-CleanUrl,https://github.com/biblibre/omeka-s-module-CleanUrl/issues,,
COinS,https://github.com/biblibre/omeka-s-module-Coins,,2016-03-15T15:20:50Z,2017-11-08T08:26:02Z,2.0.3,,,"Roy Rosenzweig Center for History and New Media (Omeka S port by BibLibre)",https://chnm.gmu.edu/,GPLv3,"Adds COinS metadata to item pages, making them Zotero readable.","metadata, zotero",https://github.com/biblibre/omeka-s-module-Coins,,,
Collecting,https://github.com/omeka-s-modules/Collecting,,2015-07-30T23:23:08Z,2018-09-18T19:44:25Z,1.0.1,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Add collecting forms to your sites.",,,https://forum.omeka.org/c/omeka-s/modules,,https://github.com/omeka-s-modules/Collecting/releases/download/v1.0.1/Collecting-1.0.1.zip
Comment,https://github.com/Daniel-KM/Omeka-S-module-Comment,,2018-01-08T09:30:19Z,2018-08-29T08:18:24Z,3.1.6,,^1.1.0,"Daniel Berthereau (port and improvement from the RRCHNM Omeka Classic plugin)",https://github.com/Daniel-KM,"CeCILL v2.1","Add public and/or private commenting on item sets, items and media and manage them.","comment, public interaction, crowdsourcing",https://github.com/Daniel-KM/Omeka-S-module-Comment,https://github.com/Daniel-KM/Omeka-S-module-Comment/issues,,
"CSS Editor",https://github.com/biblibre/omeka-s-module-CSSEditor,,2016-03-16T17:55:26Z,2018-08-02T13:43:09Z,1.0.1,,,"Roy Rosenzweig Center for History and New Media",,,"Add public CSS styles through the admin interface.",,http://omeka.org/codex/Plugins/CSS_Editor,,,
"CSS Editor",https://github.com/daniel-km/omeka-s-module-CSSEditor,https://github.com/biblibre/omeka-s-module-CSSEditor,2018-07-04T09:08:18Z,2018-07-09T05:26:03Z,3.0.1,,^1.1.0,"Roy Rosenzweig Center for History and New Media, upgraded by BibLibre and Daniel Berthereau",https://github.com/Daniel-KM,GPL-3.0,"Add public CSS styles through the admin interface.","theme, customization, css",https://github.com/Daniel-KM/Omeka-S-module-CSSEditor,https://github.com/Daniel-KM/Omeka-S-module-CSSEditor/issues,,https://github.com/Daniel-KM/Omeka-S-module-CSSEditor/releases/download/3.0.1/CSSEditor.zip
"CSV Import",https://github.com/omeka-s-modules/CSVImport,,2015-07-30T23:24:12Z,2018-10-01T17:31:01Z,1.1.0,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Import content from a CSV file.",,,https://forum.omeka.org/c/omeka-s/modules,,https://github.com/omeka-s-modules/CSVImport/releases/download/v1.1.0/CSVImport-1.1.0.zip
"Custom Advanced Search",https://github.com/omeka-s-modules/CustomAdvancedSearch,,2017-12-20T21:31:59Z,2017-12-20T21:33:09Z,0.0.1,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Customize the advanced search form",,,https://forum.omeka.org/c/omeka-s/modules,,
"Custom Ontology",https://github.com/Daniel-KM/Omeka-S-module-CustomOntology,,2018-03-05T11:01:05Z,2018-09-26T21:07:40Z,3.0.4,,^1.0.0,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Create specific classes and properties to describe resources when no standard ontologies can be used.","ontology, vocabulary, class, property",https://github.com/Daniel-KM/Omeka-S-module-CustomOntology,https://github.com/Daniel-KM/Omeka-S-module-CustomOntology/issues,,
"Custom Vocab",https://github.com/omeka-s-modules/CustomVocab,,2016-01-26T17:52:19Z,2018-06-11T04:45:51Z,1.0.0,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Describe your resources using vocabularies you create.",,,https://forum.omeka.org/c/omeka-s/modules,,https://github.com/omeka-s-modules/CustomVocab/releases/download/v1.0.0/CustomVocab-1.0.0.zip
"Derivative Images",https://github.com/Daniel-KM/Omeka-S-module-DerivativeImages,,2018-08-28T12:37:36Z,2018-09-06T08:19:27Z,3.0.1,,^1.1.0,"Daniel Berthereau",https://github.com/Daniel-KM,CECILL-2.1,"Recreate (or create) derivative images.","admin, image, thumbnail",https://github.com/Daniel-KM/Omeka-S-module-DerivativeImages,https://github.com/Daniel-KM/Omeka-S-module-DerivativeImages,,https://github.com/Daniel-KM/Omeka-S-module-DerivativeImages/releases/download/3.0.1/DerivativeImages.zip
"Dspace Connector",https://github.com/omeka-s-modules/DspaceConnector,,2015-03-02T23:56:03Z,2018-06-27T07:23:32Z,1.0.0,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Connect Omeka S to DSpace repositories.",,,https://forum.omeka.org/c/omeka-s/modules,,https://github.com/omeka-s-modules/DspaceConnector/releases/download/v1.0.1/DspaceConnector.zip
